PLAYER,Pos,TEAM,MATCH UP,Opp,Location,GAME DATE,Month,Weekday,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,plus/minus,FP,FP_3P,FP_Ast,FP_Blk,FP_FG,FP_FT,FP_Stl,FP_Reb,FP_TO
Grant Williams,F,BOS,BOS @ CLE,CLE,Away,11/2/2022,Nov,Wed,L,32,11,3,7,42.9,2,6,33.3,3,4,75,2,5,7,0,2,1,0,5,4,32.4,6,0,3,6,3,6,8.4,0
Aaron Gordon,F,DEN,DEN vs. BOS,BOS,Home,1/1/2023,Jan,Sun,W,37,18,6,13,46.2,1,2,50,5,6,83.3,1,5,6,7,2,1,2,1,23,42.7,1,10.5,3,12,5,6,7.2,-2
AJ Green,G,MIL,MIL vs. WAS,WAS,Home,1/1/2023,Jan,Sun,L,19,10,4,7,57.1,2,5,40,0,0,-,0,3,3,0,1,0,1,1,-9,15.6,2,0,0,8,0,3,3.6,-1
Jayson Tatum,F,BOS,BOS @ CLE,CLE,Away,11/2/2022,Nov,Wed,L,43,26,8,21,38.1,2,9,22.2,8,8,100,3,9,12,6,1,4,6,0,-16,62.4,6,9,12,16,8,3,14.4,-6
Anthony Gill,F,WAS,WAS @ MIL,MIL,Away,1/1/2023,Jan,Sun,W,3,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0
Bobby Portis,F,MIL,MIL vs. WAS,WAS,Home,1/1/2023,Jan,Sun,L,30,19,6,16,37.5,1,2,50,6,6,100,5,5,10,2,1,0,1,1,-10,36,1,3,0,12,6,3,12,-1
Bones Hyland,G,DEN,DEN vs. BOS,BOS,Home,1/1/2023,Jan,Sun,W,19,17,7,12,58.3,3,7,42.9,0,1,0,0,2,2,4,0,0,4,3,5,21.4,3,6,0,14,0,0,2.4,-4
Brook Lopez,C,MIL,MIL vs. WAS,WAS,Home,1/1/2023,Jan,Sun,L,24,8,3,10,30,1,3,33.3,1,1,100,4,6,10,0,1,1,2,2,-21,24,1,0,3,6,1,3,12,-2
Bruce Brown,G,DEN,DEN vs. BOS,BOS,Home,1/1/2023,Jan,Sun,W,30,21,8,14,57.1,4,6,66.7,1,1,100,0,3,3,2,1,1,3,1,5,30.6,4,3,3,16,1,3,3.6,-3
Terence Davis,G,SAC,SAC @ MEM,MEM,Away,1/1/2023,Jan,Sun,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
